,Business,Class,Code
1129,"* Productes alimentaris, begudes i tabac",1,WFLW65SKE
1359,"* d'articles de ferreteria, regal...",4,23MLH7XEN
1360,"* d'articles de ferreteria, regal...",2,23MLH7XEN
1361,"* d'articles de ferreteria, regal...",3,23MLH7XEN
1362,"* d'articles de ferreteria, regal...",5,23MLH7XEN
1363,"* d'articles de ferreteria, regal...",2,23MLH7XEN
1364,"* d'articles de ferreteria, regal...",3,23MLH7XEN
1365,"* d'articles de ferreteria, regal...",2,23MLH7XEN
1366,"* d'articles de ferreteria, regal...",2,23MLH7XEN
1367,"* d'articles de ferreteria, regal...",2,23MLH7XEN
1368,"* d'articles de ferreteria, regal...",3,23MLH7XEN
1369,"* d'articles de ferreteria, regal...",4,23MLH7XEN
1370,"* d'articles de ferreteria, regal...",2,23MLH7XEN
1371,"* d'articles de ferreteria, regal...",2,23MLH7XEN
1372,"* d'articles de ferreteria, regal...",3,23MLH7XEN
1373,"* d'articles de ferreteria, regal...",3,23MLH7XEN
1374,"* d'articles de ferreteria, regal...",3,23MLH7XEN
1375,"* d'articles de ferreteria, regal...",3,23MLH7XEN
1376,"* d'articles de ferreteria, regal...",5,23MLH7XEN
1377,"* d'articles de ferreteria, regal...",3,23MLH7XEN
1378,"* d'articles de ferreteria, regal...",3,23MLH7XEN
1379,"* d'articles de ferreteria, regal...",2,23MLH7XEN
1380,"* d'articles de ferreteria, regal...",2,23MLH7XEN
1381,"* d'articles de ferreteria, regal...",3,23MLH7XEN
1382,"* d'articles de ferreteria, regal...",3,23MLH7XEN
1383,"* d'articles de ferreteria, regal...",4,23MLH7XEN
1384,"* d'articles de ferreteria, regal...",3,23MLH7XEN
1385,"* d'articles de ferreteria, regal...",2,23MLH7XEN
1386,"* d'articles de ferreteria, regal...",3,23MLH7XEN
1387,"* d'articles de ferreteria, regal...",2,23MLH7XEN
1388,"* d'articles de ferreteria, regal...",3,23MLH7XEN
1527,"Tintures, neteja en sec, rentat i planxat roba",36,QB97M25ET
1528,"Tintures, neteja en sec, rentat i planxat roba",53,QB97M25ET
1529,"Tintures, neteja en sec, rentat i planxat roba",45,QB97M25ET
1530,"Tintures, neteja en sec, rentat i planxat roba",45,QB97M25ET
1531,"Tintures, neteja en sec, rentat i planxat roba",51,QB97M25ET
1532,"Tintures, neteja en sec, rentat i planxat roba",68,QB97M25ET
1533,"Tintures, neteja en sec, rentat i planxat roba",47,QB97M25ET
1534,"Tintures, neteja en sec, rentat i planxat roba",46,QB97M25ET
1535,"Tintures, neteja en sec, rentat i planxat roba",11,QB97M25ET
1536,"Tintures, neteja en sec, rentat i planxat roba",54,QB97M25ET
1537,"Tintures, neteja en sec, rentat i planxat roba",83,QB97M25ET
1538,"Tintures, neteja en sec, rentat i planxat roba",49,QB97M25ET
1539,"Tintures, neteja en sec, rentat i planxat roba",58,QB97M25ET
1540,"Tintures, neteja en sec, rentat i planxat roba",58,QB97M25ET
1541,"Tintures, neteja en sec, rentat i planxat roba",45,QB97M25ET
1542,"Tintures, neteja en sec, rentat i planxat roba",36,QB97M25ET
1543,"Tintures, neteja en sec, rentat i planxat roba",48,QB97M25ET
1544,"Tintures, neteja en sec, rentat i planxat roba",37,QB97M25ET
1545,"Tintures, neteja en sec, rentat i planxat roba",94,QB97M25ET
1546,"Tintures, neteja en sec, rentat i planxat roba",56,QB97M25ET
1547,"Tintures, neteja en sec, rentat i planxat roba",31,QB97M25ET
1548,"Tintures, neteja en sec, rentat i planxat roba",55,QB97M25ET
1549,"Tintures, neteja en sec, rentat i planxat roba",53,QB97M25ET
1550,"Tintures, neteja en sec, rentat i planxat roba",66,QB97M25ET
1551,"Tintures, neteja en sec, rentat i planxat roba",46,QB97M25ET
1552,"Tintures, neteja en sec, rentat i planxat roba",38,QB97M25ET
1553,"Tintures, neteja en sec, rentat i planxat roba",73,QB97M25ET
1554,"Tintures, neteja en sec, rentat i planxat roba",50,QB97M25ET
1555,"Tintures, neteja en sec, rentat i planxat roba",73,QB97M25ET
1556,"Tintures, neteja en sec, rentat i planxat roba",62,QB97M25ET
1557,"Tintures, neteja en sec, rentat i planxat roba",78,QB97M25ET
1790,"* de neteja d'interiors (edificis, oficines)",18,ZM4XG5WHY
1791,"* de neteja d'interiors (edificis, oficines)",21,ZM4XG5WHY
1792,"* de neteja d'interiors (edificis, oficines)",19,ZM4XG5WHY
1793,"* de neteja d'interiors (edificis, oficines)",33,ZM4XG5WHY
1794,"* de neteja d'interiors (edificis, oficines)",20,ZM4XG5WHY
1795,"* de neteja d'interiors (edificis, oficines)",19,ZM4XG5WHY
1796,"* de neteja d'interiors (edificis, oficines)",17,ZM4XG5WHY
1797,"* de neteja d'interiors (edificis, oficines)",20,ZM4XG5WHY
1798,"* de neteja d'interiors (edificis, oficines)",20,ZM4XG5WHY
1799,"* de neteja d'interiors (edificis, oficines)",17,ZM4XG5WHY
1800,"* de neteja d'interiors (edificis, oficines)",16,ZM4XG5WHY
1801,"* de neteja d'interiors (edificis, oficines)",13,ZM4XG5WHY
1802,"* de neteja d'interiors (edificis, oficines)",20,ZM4XG5WHY
1803,"* de neteja d'interiors (edificis, oficines)",18,ZM4XG5WHY
1804,"* de neteja d'interiors (edificis, oficines)",19,ZM4XG5WHY
1805,"* de neteja d'interiors (edificis, oficines)",19,ZM4XG5WHY
1806,"* de neteja d'interiors (edificis, oficines)",22,ZM4XG5WHY
1807,"* de neteja d'interiors (edificis, oficines)",23,ZM4XG5WHY
1808,"* de neteja d'interiors (edificis, oficines)",21,ZM4XG5WHY
1809,"* de neteja d'interiors (edificis, oficines)",15,ZM4XG5WHY
1810,"* de neteja d'interiors (edificis, oficines)",18,ZM4XG5WHY
1811,"* de neteja d'interiors (edificis, oficines)",18,ZM4XG5WHY
1812,"* de neteja d'interiors (edificis, oficines)",21,ZM4XG5WHY
1813,"* de neteja d'interiors (edificis, oficines)",17,ZM4XG5WHY
1814,"* de neteja d'interiors (edificis, oficines)",21,ZM4XG5WHY
1815,"* de neteja d'interiors (edificis, oficines)",12,ZM4XG5WHY
1816,"* de neteja d'interiors (edificis, oficines)",26,ZM4XG5WHY
1817,"* de neteja d'interiors (edificis, oficines)",21,ZM4XG5WHY
1818,"* de neteja d'interiors (edificis, oficines)",19,ZM4XG5WHY
1819,"* de neteja d'interiors (edificis, oficines)",19,ZM4XG5WHY
1820,"* de neteja d'interiors (edificis, oficines)",19,ZM4XG5WHY
1821,"* Instal·lacions elèctriques en general, etc.",0,JD60BQ7K1
1822,"* Instal·lacions elèctriques en general, etc.",1,JD60BQ7K1
1823,"* Instal·lacions elèctriques en general, etc.",0,JD60BQ7K1
1824,"* Instal·lacions elèctriques en general, etc.",0,JD60BQ7K1
1825,"* Instal·lacions elèctriques en general, etc.",1,JD60BQ7K1
1826,"* Instal·lacions elèctriques en general, etc.",0,JD60BQ7K1
1827,"* Instal·lacions elèctriques en general, etc.",1,JD60BQ7K1
1828,"* Instal·lacions elèctriques en general, etc.",0,JD60BQ7K1
1829,"* Instal·lacions elèctriques en general, etc.",0,JD60BQ7K1
1830,"* Instal·lacions elèctriques en general, etc.",1,JD60BQ7K1
1831,"* Instal·lacions elèctriques en general, etc.",1,JD60BQ7K1
1832,"* Instal·lacions elèctriques en general, etc.",0,JD60BQ7K1
1833,"* Instal·lacions elèctriques en general, etc.",0,JD60BQ7K1
1834,"* Instal·lacions elèctriques en general, etc.",1,JD60BQ7K1
1835,"* Instal·lacions elèctriques en general, etc.",0,JD60BQ7K1
1836,"* Instal·lacions elèctriques en general, etc.",1,JD60BQ7K1
1837,"* Instal·lacions elèctriques en general, etc.",1,JD60BQ7K1
1838,"* Instal·lacions elèctriques en general, etc.",1,JD60BQ7K1
1839,"* Instal·lacions elèctriques en general, etc.",0,JD60BQ7K1
1840,"* Instal·lacions elèctriques en general, etc.",0,JD60BQ7K1
1841,"* Instal·lacions elèctriques en general, etc.",1,JD60BQ7K1
1842,"* Instal·lacions elèctriques en general, etc.",1,JD60BQ7K1
1843,"* Instal·lacions elèctriques en general, etc.",1,JD60BQ7K1
1844,"* Instal·lacions elèctriques en general, etc.",0,JD60BQ7K1
1845,"* Instal·lacions elèctriques en general, etc.",1,JD60BQ7K1
1846,"* Instal·lacions elèctriques en general, etc.",1,JD60BQ7K1
1847,"* Instal·lacions elèctriques en general, etc.",0,JD60BQ7K1
1848,"* Instal·lacions elèctriques en general, etc.",1,JD60BQ7K1
1849,"* Instal·lacions elèctriques en general, etc.",0,JD60BQ7K1
1850,"* Instal·lacions elèctriques en general, etc.",0,JD60BQ7K1
1851,"Serveis en cafès i bars, amb i sense menjar",67,3GM6EW4G3
1852,"Serveis en cafès i bars, amb i sense menjar",60,3GM6EW4G3
1855,"Serveis en cafès i bars, amb i sense menjar",63,3GM6EW4G3
1856,"Serveis en cafès i bars, amb i sense menjar",30,3GM6EW4G3
1857,"Serveis en cafès i bars, amb i sense menjar",37,3GM6EW4G3
1858,"Serveis en cafès i bars, amb i sense menjar",44,3GM6EW4G3
1859,"Serveis en cafès i bars, amb i sense menjar",58,3GM6EW4G3
1860,"Serveis en cafès i bars, amb i sense menjar",17,3GM6EW4G3
1863,"Serveis en cafès i bars, amb i sense menjar",63,3GM6EW4G3
1864,"Serveis en cafès i bars, amb i sense menjar",49,3GM6EW4G3
1865,"Serveis en cafès i bars, amb i sense menjar",22,3GM6EW4G3
1866,"Serveis en cafès i bars, amb i sense menjar",47,3GM6EW4G3
1868,"Serveis en cafès i bars, amb i sense menjar",56,3GM6EW4G3
1869,"Serveis en cafès i bars, amb i sense menjar",63,3GM6EW4G3
1870,"Serveis en cafès i bars, amb i sense menjar",4,3GM6EW4G3
1871,"Serveis en cafès i bars, amb i sense menjar",45,3GM6EW4G3
1872,"Serveis en cafès i bars, amb i sense menjar",28,3GM6EW4G3
1873,"Serveis en cafès i bars, amb i sense menjar",14,3GM6EW4G3
1874,"Serveis en cafès i bars, amb i sense menjar",27,3GM6EW4G3
1875,"Serveis en cafès i bars, amb i sense menjar",8,3GM6EW4G3
1876,"Serveis en cafès i bars, amb i sense menjar",-16,3GM6EW4G3
1936,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1937,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1938,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1940,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1942,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1950,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1955,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1956,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1957,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1958,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1962,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1964,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1965,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1968,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1969,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1970,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1971,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1972,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1973,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1974,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1975,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1977,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1982,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1985,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
1986,"Consultoris mèdics, centres de socors, sanitaris",0,1GR1F8WDC
2071,"Consultoris mèdics, centres de socors, sanitaris",7,DO0FIT0D3
2072,"Consultoris mèdics, centres de socors, sanitaris",11,DO0FIT0D3
2073,"Consultoris mèdics, centres de socors, sanitaris",10,DO0FIT0D3
2074,"Consultoris mèdics, centres de socors, sanitaris",3,DO0FIT0D3
2075,"Consultoris mèdics, centres de socors, sanitaris",3,DO0FIT0D3
2076,"Consultoris mèdics, centres de socors, sanitaris",10,DO0FIT0D3
2077,"Consultoris mèdics, centres de socors, sanitaris",6,DO0FIT0D3
2078,"Consultoris mèdics, centres de socors, sanitaris",13,DO0FIT0D3
2079,"Consultoris mèdics, centres de socors, sanitaris",6,DO0FIT0D3
2080,"Consultoris mèdics, centres de socors, sanitaris",6,DO0FIT0D3
2081,"Consultoris mèdics, centres de socors, sanitaris",10,DO0FIT0D3
2082,"Consultoris mèdics, centres de socors, sanitaris",12,DO0FIT0D3
2083,"Consultoris mèdics, centres de socors, sanitaris",14,DO0FIT0D3
2084,"Consultoris mèdics, centres de socors, sanitaris",3,DO0FIT0D3
2085,"Consultoris mèdics, centres de socors, sanitaris",0,DO0FIT0D3
2086,"Consultoris mèdics, centres de socors, sanitaris",1,DO0FIT0D3
2087,"Consultoris mèdics, centres de socors, sanitaris",10,DO0FIT0D3
2088,"Consultoris mèdics, centres de socors, sanitaris",10,DO0FIT0D3
2089,"Consultoris mèdics, centres de socors, sanitaris",6,DO0FIT0D3
2090,"Consultoris mèdics, centres de socors, sanitaris",14,DO0FIT0D3
2091,"Consultoris mèdics, centres de socors, sanitaris",1,DO0FIT0D3
2092,"Consultoris mèdics, centres de socors, sanitaris",11,DO0FIT0D3
2164,"* De llibres, diaris i revistes",46,WNEHVRF6N
2165,"* De llibres, diaris i revistes",68,WNEHVRF6N
2166,"* De llibres, diaris i revistes",49,WNEHVRF6N
2167,"* De llibres, diaris i revistes",72,WNEHVRF6N
2168,"* De llibres, diaris i revistes",62,WNEHVRF6N
2169,"* De llibres, diaris i revistes",69,WNEHVRF6N
2170,"* De llibres, diaris i revistes",119,WNEHVRF6N
2171,"* De llibres, diaris i revistes",42,WNEHVRF6N
2172,"* De llibres, diaris i revistes",47,WNEHVRF6N
2173,"* De llibres, diaris i revistes",43,WNEHVRF6N
2174,"* De llibres, diaris i revistes",50,WNEHVRF6N
2175,"* De llibres, diaris i revistes",48,WNEHVRF6N
2176,"* De llibres, diaris i revistes",56,WNEHVRF6N
2177,"* De llibres, diaris i revistes",96,WNEHVRF6N
2178,"* De llibres, diaris i revistes",46,WNEHVRF6N
2179,"* De llibres, diaris i revistes",48,WNEHVRF6N
2180,"* De llibres, diaris i revistes",43,WNEHVRF6N
2181,"* De llibres, diaris i revistes",66,WNEHVRF6N
2182,"* De llibres, diaris i revistes",83,WNEHVRF6N
2183,"* De llibres, diaris i revistes",49,WNEHVRF6N
2184,"* De llibres, diaris i revistes",52,WNEHVRF6N
2185,"* De llibres, diaris i revistes",46,WNEHVRF6N
2186,"* De llibres, diaris i revistes",31,WNEHVRF6N
2187,"* De llibres, diaris i revistes",51,WNEHVRF6N
2188,"* De llibres, diaris i revistes",49,WNEHVRF6N
2189,"* De llibres, diaris i revistes",36,WNEHVRF6N
2190,"* De llibres, diaris i revistes",147,WNEHVRF6N
2191,"* De llibres, diaris i revistes",47,WNEHVRF6N
2192,"* De llibres, diaris i revistes",46,WNEHVRF6N
2193,"* De llibres, diaris i revistes",67,WNEHVRF6N
2194,"* De llibres, diaris i revistes",56,WNEHVRF6N
2285,"Ensenyament de conducció de vehicles terrestres, a",0,6621WW66T
2286,"Ensenyament de conducció de vehicles terrestres, a",0,6621WW66T
2289,"Ensenyament de conducció de vehicles terrestres, a",0,6621WW66T
