DATA,NUM_IAE,TEXT_IAE,CONSUM_MES,NUM_CLIENT_ANONIMITZAT
2018-06-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
2020-10-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
2017-06-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
2017-10-01,I6524,* al detall del plantes i herbes en herbolaris,1,1BZMYTGZV
2019-02-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
2020-12-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
2018-04-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
2021-12-01,I6524,* al detall del plantes i herbes en herbolaris,1,1BZMYTGZV
2017-08-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
2018-10-01,I6524,* al detall del plantes i herbes en herbolaris,1,1BZMYTGZV
2020-04-01,I6524,* al detall del plantes i herbes en herbolaris,1,1BZMYTGZV
2021-08-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
2021-06-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
2021-04-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
2021-10-01,I6524,* al detall del plantes i herbes en herbolaris,1,1BZMYTGZV
2018-08-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
2019-04-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
2019-06-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
2018-02-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
2020-08-01,I6524,* al detall del plantes i herbes en herbolaris,1,1BZMYTGZV
2019-10-01,I6524,* al detall del plantes i herbes en herbolaris,1,1BZMYTGZV
2017-02-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
2018-12-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
2020-02-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
2017-04-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
2017-12-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
2020-06-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
2021-02-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
2018-08-01,I9997,Sense activitat o desconeguda,0,AIUQYBM9Z
2018-12-01,I9997,Sense activitat o desconeguda,0,AIUQYBM9Z
2017-12-01,I9997,Sense activitat o desconeguda,0,AIUQYBM9Z
2021-02-01,I9997,Sense activitat o desconeguda,0,AIUQYBM9Z
2017-10-01,I9997,Sense activitat o desconeguda,0,AIUQYBM9Z
2017-08-01,I9997,Sense activitat o desconeguda,1,AIUQYBM9Z
2020-06-01,I9997,Sense activitat o desconeguda,0,AIUQYBM9Z
2019-02-01,I9997,Sense activitat o desconeguda,0,AIUQYBM9Z
2018-04-01,I9997,Sense activitat o desconeguda,0,AIUQYBM9Z
2018-06-01,I9997,Sense activitat o desconeguda,1,AIUQYBM9Z
2017-02-01,I9997,Sense activitat o desconeguda,1,AIUQYBM9Z
2019-06-01,I9997,Sense activitat o desconeguda,0,AIUQYBM9Z
2019-12-01,I9997,Sense activitat o desconeguda,0,AIUQYBM9Z
2020-02-01,I9997,Sense activitat o desconeguda,0,AIUQYBM9Z
2021-06-01,I9997,Sense activitat o desconeguda,0,AIUQYBM9Z
2020-10-01,I9997,Sense activitat o desconeguda,0,AIUQYBM9Z
2017-06-01,I9997,Sense activitat o desconeguda,0,AIUQYBM9Z
2018-10-01,I9997,Sense activitat o desconeguda,1,AIUQYBM9Z
2019-04-01,I9997,Sense activitat o desconeguda,1,AIUQYBM9Z
2019-08-01,I9997,Sense activitat o desconeguda,0,AIUQYBM9Z
2020-12-01,I9997,Sense activitat o desconeguda,0,AIUQYBM9Z
2020-04-01,I9997,Sense activitat o desconeguda,0,AIUQYBM9Z
2018-02-01,I9997,Sense activitat o desconeguda,1,AIUQYBM9Z
2021-04-01,I9997,Sense activitat o desconeguda,0,AIUQYBM9Z
2017-04-01,I9997,Sense activitat o desconeguda,1,AIUQYBM9Z
2020-08-01,I9997,Sense activitat o desconeguda,1,AIUQYBM9Z
2021-08-01,I9997,Sense activitat o desconeguda,1,AIUQYBM9Z
2019-10-01,I9997,Sense activitat o desconeguda,1,AIUQYBM9Z
2017-02-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2018-12-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2019-08-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2018-08-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2019-02-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2020-06-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2020-08-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2018-06-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2017-08-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2018-04-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2019-04-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2018-02-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2020-04-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2017-06-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2018-10-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2020-02-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2017-10-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2017-12-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2019-10-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2019-06-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2017-04-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2019-12-01,I9997,Sense activitat o desconeguda,0,LY1QNGK38
2017-06-01,P731,Advocats,1,TADP22CZ8
2017-08-01,P731,Advocats,1,TADP22CZ8
2018-06-01,P731,Advocats,2,TADP22CZ8
2021-06-01,P731,Advocats,1,TADP22CZ8
2017-02-01,I3141,Carpinteria metàl·lica,0,TADP22CZ8
2020-08-01,P731,Advocats,2,TADP22CZ8
2018-04-01,I3141,Carpinteria metàl·lica,1,TADP22CZ8
2018-12-01,P731,Advocats,2,TADP22CZ8
2021-02-01,P731,Advocats,1,TADP22CZ8
2019-04-01,P731,Advocats,2,TADP22CZ8
2020-10-01,P731,Advocats,0,TADP22CZ8
2021-08-01,P731,Advocats,1,TADP22CZ8
2018-02-01,P731,Advocats,2,TADP22CZ8
2018-08-01,P731,Advocats,1,TADP22CZ8
2019-12-01,P731,Advocats,1,TADP22CZ8
2020-06-01,P731,Advocats,0,TADP22CZ8
2020-04-01,P731,Advocats,1,TADP22CZ8
2018-10-01,P731,Advocats,1,TADP22CZ8
2019-02-01,P731,Advocats,2,TADP22CZ8
2020-12-01,P731,Advocats,1,TADP22CZ8
2017-10-01,P731,Advocats,1,TADP22CZ8
2017-04-01,I3141,Carpinteria metàl·lica,0,TADP22CZ8
2021-12-01,P731,Advocats,2,TADP22CZ8
2017-12-01,I3141,Carpinteria metàl·lica,0,TADP22CZ8
2019-06-01,P731,Advocats,2,TADP22CZ8
2019-08-01,P731,Advocats,1,TADP22CZ8
2020-02-01,P731,Advocats,1,TADP22CZ8
2021-04-01,P731,Advocats,1,TADP22CZ8
2019-10-01,P731,Advocats,1,TADP22CZ8
2021-10-01,P731,Advocats,2,TADP22CZ8
2017-02-01,I9997,Sense activitat o desconeguda,0,WIOKSIZFR
2017-12-01,I9997,Sense activitat o desconeguda,2,WIOKSIZFR
2018-08-01,I9997,Sense activitat o desconeguda,4,WIOKSIZFR
2018-12-01,I9997,Sense activitat o desconeguda,3,WIOKSIZFR
2018-04-01,I9997,Sense activitat o desconeguda,13,WIOKSIZFR
2018-06-01,I9997,Sense activitat o desconeguda,6,WIOKSIZFR
2020-02-01,I9997,Sense activitat o desconeguda,3,WIOKSIZFR
2020-04-01,I9997,Sense activitat o desconeguda,1,WIOKSIZFR
2020-06-01,I9997,Sense activitat o desconeguda,1,WIOKSIZFR
2020-08-01,I9997,Sense activitat o desconeguda,5,WIOKSIZFR
2020-12-01,I9997,Sense activitat o desconeguda,3,WIOKSIZFR
2021-04-01,I9997,Sense activitat o desconeguda,7,WIOKSIZFR
2021-06-01,I9997,Sense activitat o desconeguda,10,WIOKSIZFR
2019-06-01,I9997,Sense activitat o desconeguda,6,WIOKSIZFR
2019-08-01,I9997,Sense activitat o desconeguda,3,WIOKSIZFR
2019-12-01,I9997,Sense activitat o desconeguda,3,WIOKSIZFR
2019-02-01,I9997,Sense activitat o desconeguda,4,WIOKSIZFR
2021-12-01,I9997,Sense activitat o desconeguda,6,WIOKSIZFR
2017-08-01,I9997,Sense activitat o desconeguda,4,WIOKSIZFR
2019-04-01,I9997,Sense activitat o desconeguda,4,WIOKSIZFR
2017-06-01,I9997,Sense activitat o desconeguda,2,WIOKSIZFR
2019-10-01,I9997,Sense activitat o desconeguda,4,WIOKSIZFR
2018-10-01,I9997,Sense activitat o desconeguda,7,WIOKSIZFR
2020-10-01,I9997,Sense activitat o desconeguda,2,WIOKSIZFR
2021-08-01,I9997,Sense activitat o desconeguda,7,WIOKSIZFR
2017-04-01,I9997,Sense activitat o desconeguda,93,WIOKSIZFR
2021-10-01,I9997,Sense activitat o desconeguda,7,WIOKSIZFR
2017-10-01,I9997,Sense activitat o desconeguda,9,WIOKSIZFR
2018-02-01,I9997,Sense activitat o desconeguda,6,WIOKSIZFR
2021-02-01,I9997,Sense activitat o desconeguda,3,WIOKSIZFR
2019-03-01,I9997,Sense activitat o desconeguda,0,BP9FFCV8N
2018-04-01,I9997,Sense activitat o desconeguda,0,BP9FFCV8N
2017-03-01,I9997,Sense activitat o desconeguda,1,BP9FFCV8N
2018-03-01,I9997,Sense activitat o desconeguda,0,BP9FFCV8N
2017-07-01,I9997,Sense activitat o desconeguda,0,BP9FFCV8N
2017-11-01,I9997,Sense activitat o desconeguda,0,BP9FFCV8N
2017-05-01,I9997,Sense activitat o desconeguda,0,BP9FFCV8N
2017-09-01,I9997,Sense activitat o desconeguda,1,BP9FFCV8N
2018-01-01,I9997,Sense activitat o desconeguda,1,BP9FFCV8N
2017-01-01,I9997,Sense activitat o desconeguda,0,BP9FFCV8N
2018-05-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,81,FDOKN6MBB
2018-11-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,69,FDOKN6MBB
2017-01-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,99,FDOKN6MBB
2019-01-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,73,FDOKN6MBB
2020-03-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,66,FDOKN6MBB
2020-11-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,74,FDOKN6MBB
2019-07-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,102,FDOKN6MBB
2019-11-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,62,FDOKN6MBB
2020-01-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,69,FDOKN6MBB
2021-11-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,66,FDOKN6MBB
2017-09-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,69,FDOKN6MBB
2018-07-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,90,FDOKN6MBB
2020-05-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,25,FDOKN6MBB
2017-05-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,106,FDOKN6MBB
2017-11-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,72,FDOKN6MBB
2019-09-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,61,FDOKN6MBB
2020-07-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,9,FDOKN6MBB
2021-01-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,61,FDOKN6MBB
2019-03-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,73,FDOKN6MBB
2019-05-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,77,FDOKN6MBB
2018-01-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,66,FDOKN6MBB
2022-01-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,45,FDOKN6MBB
2017-07-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,126,FDOKN6MBB
2018-03-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,73,FDOKN6MBB
2020-09-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,30,FDOKN6MBB
2017-03-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,96,FDOKN6MBB
2021-05-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,79,FDOKN6MBB
2021-03-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,81,FDOKN6MBB
2021-09-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,40,FDOKN6MBB
2018-09-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,62,FDOKN6MBB
2021-07-01,IAJT,SUBMINISTRAMENTS D'AJUNTAMENT,93,FDOKN6MBB
2018-09-01,I6622,* al detall d'articles incloent begudes alim.,0,4H9A9O4KI
2018-05-01,I6622,* al detall d'articles incloent begudes alim.,1,4H9A9O4KI
2019-09-01,I6622,* al detall d'articles incloent begudes alim.,1,4H9A9O4KI
2021-09-01,I6622,* al detall d'articles incloent begudes alim.,0,4H9A9O4KI
2018-03-01,I6622,* al detall d'articles incloent begudes alim.,1,4H9A9O4KI
2019-07-01,I6622,* al detall d'articles incloent begudes alim.,0,4H9A9O4KI
2019-03-01,I6622,* al detall d'articles incloent begudes alim.,1,4H9A9O4KI
2018-01-01,I6622,* al detall d'articles incloent begudes alim.,2,4H9A9O4KI
2020-03-01,I6622,* al detall d'articles incloent begudes alim.,1,4H9A9O4KI
2021-11-01,I6622,* al detall d'articles incloent begudes alim.,1,4H9A9O4KI
2022-01-01,I6622,* al detall d'articles incloent begudes alim.,1,4H9A9O4KI
2017-11-01,I6622,* al detall d'articles incloent begudes alim.,1,4H9A9O4KI
2021-05-01,I6622,* al detall d'articles incloent begudes alim.,1,4H9A9O4KI
2020-01-01,I6622,* al detall d'articles incloent begudes alim.,1,4H9A9O4KI
2021-03-01,I6622,* al detall d'articles incloent begudes alim.,1,4H9A9O4KI
2018-07-01,I6622,* al detall d'articles incloent begudes alim.,1,4H9A9O4KI
2019-05-01,I6622,* al detall d'articles incloent begudes alim.,1,4H9A9O4KI
2019-11-01,I6622,* al detall d'articles incloent begudes alim.,0,4H9A9O4KI
2020-09-01,I6622,* al detall d'articles incloent begudes alim.,1,4H9A9O4KI
2018-11-01,I6622,* al detall d'articles incloent begudes alim.,1,4H9A9O4KI
2019-01-01,I6622,* al detall d'articles incloent begudes alim.,0,4H9A9O4KI
2020-07-01,I6622,* al detall d'articles incloent begudes alim.,0,4H9A9O4KI
2020-11-01,I6622,* al detall d'articles incloent begudes alim.,1,4H9A9O4KI
2021-01-01,I6622,* al detall d'articles incloent begudes alim.,0,4H9A9O4KI
2021-07-01,I6622,* al detall d'articles incloent begudes alim.,1,4H9A9O4KI
2017-09-01,I6622,* al detall d'articles incloent begudes alim.,0,4H9A9O4KI
2020-05-01,I6622,* al detall d'articles incloent begudes alim.,0,4H9A9O4KI
2017-09-01,I9997,Sense activitat o desconeguda,0,IRZ6H2OK7
2018-05-01,I9997,Sense activitat o desconeguda,0,IRZ6H2OK7
2018-01-01,I9997,Sense activitat o desconeguda,0,IRZ6H2OK7
2021-07-01,ITAN,LOCALS TANCATS,0,IRZ6H2OK7
2021-11-01,ITAN,LOCALS TANCATS,-6,IRZ6H2OK7
2021-03-01,ITAN,LOCALS TANCATS,0,IRZ6H2OK7
2018-06-01,I9997,Sense activitat o desconeguda,0,IRZ6H2OK7
2020-11-01,ITAN,LOCALS TANCATS,6,IRZ6H2OK7
2021-01-01,ITAN,LOCALS TANCATS,0,IRZ6H2OK7
2017-11-01,I9997,Sense activitat o desconeguda,0,IRZ6H2OK7
2021-09-01,ITAN,LOCALS TANCATS,0,IRZ6H2OK7
2017-03-01,I9997,Sense activitat o desconeguda,0,IRZ6H2OK7
2017-05-01,I9997,Sense activitat o desconeguda,0,IRZ6H2OK7
2022-01-01,ITAN,LOCALS TANCATS,1,IRZ6H2OK7
2017-01-01,I9997,Sense activitat o desconeguda,0,IRZ6H2OK7
2017-07-01,I9997,Sense activitat o desconeguda,0,IRZ6H2OK7
2018-03-01,I9997,Sense activitat o desconeguda,0,IRZ6H2OK7
2021-05-01,ITAN,LOCALS TANCATS,0,IRZ6H2OK7
2017-10-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
2018-04-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
2019-04-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
2017-08-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
2019-12-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
2020-02-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
2021-12-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
2019-02-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
2020-10-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
2021-04-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
2017-04-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
2018-06-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
2020-04-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
2021-06-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
2017-12-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
2018-10-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
2020-08-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
2018-08-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
2019-10-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
2020-12-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
2021-08-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
2021-10-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
2018-12-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
2017-06-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
2019-06-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
2021-02-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
2018-02-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
2019-08-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
2017-02-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
2020-06-01,I9421,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
2018-07-01,I6732,* d'altres categories,81,CI3U1J1N0
2019-03-01,I6732,* d'altres categories,78,CI3U1J1N0
2021-05-01,I6732,* d'altres categories,100,CI3U1J1N0
2019-11-01,I6732,* d'altres categories,101,CI3U1J1N0
2020-09-01,I6732,* d'altres categories,82,CI3U1J1N0
2021-01-01,I6732,* d'altres categories,56,CI3U1J1N0
2021-07-01,I6732,* d'altres categories,108,CI3U1J1N0
2018-05-01,I6732,* d'altres categories,120,CI3U1J1N0
2020-07-01,I6732,* d'altres categories,55,CI3U1J1N0
2020-03-01,I6732,* d'altres categories,129,CI3U1J1N0
2021-03-01,I6732,* d'altres categories,104,CI3U1J1N0
2018-11-01,I6732,* d'altres categories,75,CI3U1J1N0
2019-09-01,I6732,* d'altres categories,74,CI3U1J1N0
2019-01-01,I6732,* d'altres categories,78,CI3U1J1N0
2021-11-01,I6732,* d'altres categories,81,CI3U1J1N0
2020-01-01,I6732,* d'altres categories,104,CI3U1J1N0
2018-09-01,I6732,* d'altres categories,79,CI3U1J1N0
2020-05-01,I6732,* d'altres categories,34,CI3U1J1N0
2021-09-01,I6732,* d'altres categories,77,CI3U1J1N0
2022-01-01,I6732,* d'altres categories,90,CI3U1J1N0
2019-05-01,I6732,* d'altres categories,77,CI3U1J1N0
2020-11-01,I6732,* d'altres categories,115,CI3U1J1N0
2019-07-01,I6732,* d'altres categories,95,CI3U1J1N0
2018-04-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",5,YRLDZDXAH
2019-02-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",4,YRLDZDXAH
2019-06-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",5,YRLDZDXAH
2020-10-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",6,YRLDZDXAH
2021-12-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",5,YRLDZDXAH
2018-08-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",5,YRLDZDXAH
2018-12-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",5,YRLDZDXAH
2020-02-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",6,YRLDZDXAH
2020-08-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",5,YRLDZDXAH
2017-04-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",4,YRLDZDXAH
2017-06-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",3,YRLDZDXAH
2017-02-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",2,YRLDZDXAH
2018-02-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",3,YRLDZDXAH
2019-10-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",5,YRLDZDXAH
2020-04-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",4,YRLDZDXAH
2021-02-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",2,YRLDZDXAH
2019-04-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",5,YRLDZDXAH
2019-08-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",6,YRLDZDXAH
2020-12-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",3,YRLDZDXAH
2021-04-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",4,YRLDZDXAH
2018-06-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",5,YRLDZDXAH
2021-06-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",3,YRLDZDXAH
2021-08-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",4,YRLDZDXAH
2017-10-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",4,YRLDZDXAH
2017-12-01,I6592,"* mobles d'oficina, màquines i equips d'oficina",4,YRLDZDXAH
